Date,Australia,Canada,Japan,Sweden,United Kingdom,United States
1960-01-01,1807.78571021206,2259.29428549881,475.319075592173,2114.00297269192,1397.5948032844,3007.12344537862
1961-01-01,1874.73210577126,2240.43303945853,568.907742697122,2288.92170111915,1472.38571407868,3066.56286916615
1962-01-01,1851.84185074588,2268.58534607907,639.640785435342,2468.69458903006,1525.77585271032,3243.84307754988
1963-01-01,1964.1504696359,2374.49844764883,724.693762224539,2657.02250478203,1613.45688373392,3374.51517105082
1964-01-01,2128.06835509202,2555.11114601309,843.616878543607,2941.04889945204,1748.2881176141,3573.94118474743
1965-01-01,2277.55839760436,2770.36180408145,928.518848597045,3206.09917020339,1873.56777435421,3827.52710972039
1966-01-01,2340.43868460617,3047.10614707958,1068.55843990563,3454.42978938679,1986.74715869685,4146.31664631665
1967-01-01,2576.2845085275,3217.15929360795,1239.31837741267,3720.92684527721,2058.78188198056,4336.42658722171
1968-01-01,2720.08260948799,3462.67887195794,1451.33770268101,3926.40900146965,1951.75859587532,4695.92339043178
1969-01-01,2986.94950744786,3763.95337938417,1684.65940266378,4234.16134821018,2100.66786858672,5032.14474262003
1970-01-01,3299.84320663058,4121.93281373693,2056.12204597008,4736.21715377766,2347.54431773747,5234.2966662115
1971-01-01,3489.95229368358,4520.1628781257,2272.07780221047,5132.71160742552,2649.80151387223,5609.38259952519
1972-01-01,3943.7876390397,5089.58790204875,2967.0419962342,6027.12849917337,3030.43251411977,6094.01798986165
1973-01-01,4763.6283896816,5838.66089434012,3974.74560470548,7301.215425886,3426.27622050378,6726.35895596695
1974-01-01,6473.16515297326,7033.01102090736,4353.82435516245,8089.91458466682,3665.8627976419,7225.69135952566
1975-01-01,6994.30821815538,7511.21134279151,4674.44548119394,10117.3066842673,4299.74561799284,7801.45666356443
1976-01-01,7476.74874774519,8809.26466044933,5197.62233650784,10868.2757657546,4138.16778761535,8592.25353727612
1977-01-01,7765.07054434927,8919.05746104275,6335.28687066895,11448.6193912266,4681.43993173038,9452.57651914511
1978-01-01,8241.99727587296,9123.69133364505,8820.69194537469,12620.5186141512,5976.93816899991,10564.9482220275
1979-01-01,9281.52335605458,10043.6609586669,9103.56475559867,14877.1642883549,7804.76208051155,11674.1863100131
1980-01-01,10194.3945390856,11170.5639723393,9463.35385519596,17097.8326512095,10032.062080015,12574.7915062163
1981-01-01,11833.7432115058,12337.4662493804,10360.1782674787,15586.4300780047,9599.30622221965,13976.1097504641
1982-01-01,12766.5222521717,12481.8747874298,9575.60771340783,13738.9722980374,9146.07735701852,14433.787727053
1983-01-01,11518.6685192068,13425.1224888294,10421.2124356394,12608.2291505865,8691.51881306514,15543.8937174925
1984-01-01,12431.9458488308,13877.9170763469,10978.9198054992,13099.0208341765,8179.19444064991,17121.2254849995
1985-01-01,11437.7131376782,14114.8077599664,11576.6921126865,13666.8577454736,8652.21654247593,18236.8277265009
1986-01-01,11364.2394626146,14461.0692388787,17113.2623242419,17981.0194119405,10611.112210096,19071.2271949295
1987-01-01,11624.6209607028,16308.9669663579,20748.9909244528,21792.5589059822,13118.586534629,20038.9410992658
1988-01-01,14254.5135644484,18936.9641024997,25059.0074334621,24534.6938164191,15987.1680775688,21417.0119305191
1989-01-01,17798.5563713427,20715.631483174,24822.7755670655,25662.2205892506,16239.2821960944,22857.1544330056
1990-01-01,18211.5000581403,21448.3619600057,25371.4641705246,30593.6724447761,19095.4669984608,23888.6000088133
1991-01-01,18821.7952597366,21768.3432941828,28915.0082048082,31822.8038482367,19900.7266505069,24342.2589048189
1992-01-01,18570.1204617916,20879.8483300891,31414.9846370412,32800.9826867546,20487.1707852878,25418.9907763319
1993-01-01,17634.534752009,20121.1612532855,35681.9639422506,24425.2849281118,18389.0195675099,26387.2937338171
1994-01-01,18046.1364806876,19935.3814579208,39200.4935729096,26083.6143874838,19709.2380983653,27694.853416234
1995-01-01,20319.6306283956,20613.7878829216,43428.9427520172,30282.9639200066,23123.6945627431,28690.8757013347
1996-01-01,21861.32550987,21227.3475315896,38436.9263119118,32998.9681608432,24333.2341750878,29967.7127181749
1997-01-01,23468.5968306374,21901.5628548392,35021.7190917159,30312.4875993103,26719.5429576766,31459.1389804773
1998-01-01,21318.9641694318,21024.5850687045,31902.7670955137,30596.5272048832,28238.9950546354,32853.6769523009
1999-01-01,20533.035061907,22315.2466731545,36026.5560750168,30941.0793624668,28665.7074949102,34513.5615037271
2000-01-01,21679.2478424147,24271.0020563821,38532.0408752935,29624.9126748618,28156.2674107209,36334.9087770589
2001-01-01,19490.8611097303,23822.0601178964,33846.4656414342,27247.857734793,27717.6258101678,37133.2428088526
2002-01-01,20082.4832672749,24255.3385818322,32289.3505360726,29899.1952495081,29982.6187026848,38023.1611144021
2003-01-01,23447.0310006717,28300.4630963791,34808.3909176613,37321.7979047059,34383.9479627726,39496.4858751381
2004-01-01,30430.6764374443,32143.6814078562,37688.7223359406,42821.6731423358,40208.8560760282,41712.8010675545
2005-01-01,33999.2428575835,36382.5079164537,37217.648727917,43437.0631164776,41932.8773606998,44114.7477810544
2006-01-01,36044.9228108485,40504.0607253203,35433.988963743,46593.6021646111,44472.5742349596,46298.7314440927
2007-01-01,40960.0544948199,44659.8951408034,35275.2284312667,53700.0053363063,50444.9301546348,47975.9676958038
2008-01-01,49601.6567082178,46710.5055759013,39339.2975731826,56152.552340314,47267.0121770864,48382.5584490552
2009-01-01,42772.3591664498,40876.3101540295,40855.1756354596,46946.9602719954,38736.9021994994,47099.9804711343
2010-01-01,52022.1255961876,47562.0834253057,44507.6763859172,52869.0442891587,39536.7726806835,48466.6576026922
2011-01-01,62517.8337471503,52223.696112356,48167.9972684965,60755.7595508465,42047.6142522206,49882.5581321495
2012-01-01,68012.1479005934,52669.0899632316,48603.4766497749,58037.8213192173,42449.1076656792,51602.9310457907
2013-01-01,68150.1070413215,52635.1749580433,40454.4474578903,61126.9431963979,43401.3105295842,53106.5367672165
2014-01-01,62510.7911705641,50955.9983232404,38109.4121125573,60020.3604576572,47452.1991368626,55049.9883272312
2015-01-01,56755.7217124249,43596.1355365546,34524.4698609337,51545.4836095322,45039.2359520486,56863.3714957652
2016-01-01,49971.131456129,42315.6037056806,38761.8181501925,51965.1571531985,41048.3496572292,58021.4004997125
2017-01-01,54027.9668184568,45129.3564395662,38386.5111457057,53791.5087298403,40304.7230763678,60109.6557260477
2018-01-01,57354.9640455891,46454.7433947203,39159.4235633952,54589.0603860606,42992.8037216089,63064.4184096731
2019-01-01,55057.2046960666,46326.6726375572,40113.0609702277,51686.8513545938,42354.4146545765,65279.5290260953
